physical_cell_id,batch_id,original_cell_id,charging_policy,split,cycle_life,delta_q_var,delta_q_min,delta_q_mean,delta_q_skew,delta_q_kurt,q_discharge_2,q_discharge_100,q_diff_100_2,q_max_diff,q_slope,q_intercept,ir_2,ir_100,ir_diff_100_2,ir_mean,t_avg_mean,t_max_max,t_min_min,charge_time_mean,charge_time_diff_100_2
b1c14,batch1,b1c14,5.4C(60%)-3C,primary_test,880.0,-4.046069839990279,-1.548306330889822,-0.011946218223467892,-0.28245263733712345,-1.3132871189250308,1.0709661,1.0762016,0.005235500000000171,0.006877699999999987,2.623412492269632e-05,1.0747649768006595,0.017121186,0.017053071,-6.811500000000054e-05,0.016975001838383838,33.07746279993842,37.818813,29.769632,14.925935387205387,0.08350333333337367
b1c15,batch1,b1c15,5.4C(60%)-3C,train,719.0,-4.017949103167607,-1.538433127534962,-0.011013089313180444,-0.4819985506782299,-1.250455985410066,1.0611236,1.0677497,0.006626100000000079,0.008215100000000142,2.904936054421799e-05,1.0661753684708306,0.017168047,0.016914751,-0.0002532960000000001,0.016839986434343434,33.147720104395674,38.47617,29.44138,14.92770846801342,-0.08335500000015017
b1c16,batch1,b1c16,5.4C(60%)-3.6C,primary_test,862.0,-4.099413675443745,-1.5589858999371669,-0.012403806163792485,-0.12294982972227239,-1.228098401990385,1.0811664,1.0863206,0.005154199999999998,0.007425499999999863,2.3160274582560226e-05,1.085288382561946,0.01683085,0.016816031,-1.4819000000002719e-05,0.016528862282828287,32.41716254671688,37.566532,29.542667,10.12547436026938,0.00037499999956125407
b1c17,batch1,b1c17,5.4C(60%)-3.6C,train,857.0,-3.970159451162403,-1.5076871632965057,-0.013343115757399526,-0.25598794617561316,-1.2907022981003802,1.072052,1.0769763,0.004924300000000104,0.007173799999999897,1.788623129251757e-05,1.076194038567718,0.016778639,0.016800802,2.2162999999998656e-05,0.016676227535353534,32.088753858534446,37.208405,29.182228,10.13811205387206,0.08308000000012505
b1c18,batch1,b1c18,5.4C(70%)-3C,primary_test,691.0,-3.650080545153841,-1.3552344300601988,-0.02070238680333876,-0.05207889132502617,-1.346528286080605,1.0661705,1.0645274,-0.0016430999999998974,1.8179140000000003,-0.000294541590599876,1.1014650039488765,0.019886132,0.015891589,-0.003994543,0.018004754414141413,31.831057275618022,36.084282,29.688587,9.925956313131316,0.00015833333257830873
b1c19,batch1,b1c19,5.4C(70%)-3C,train,788.0,-3.6199068274368353,-1.3382564529624872,-0.020106274821769736,-0.2734236630130664,-1.275414778811916,1.0851147,1.0870851,0.0019703999999998167,0.004190699999999881,-1.035584539270271e-05,1.0888966198321994,0.016449727,0.01638364,-6.60869999999994e-05,0.01632486908080808,33.044085397077396,37.49086,29.91865,9.930255336700304,-0.0001500000004241997
b1c20,batch1,b1c20,5.4C(80%)-5.4C,primary_test,534.0,-3.367237410245857,-1.1966765604379692,-0.03279598300714767,0.24167276572580954,-1.0727210228955253,1.07263,1.0612478,-0.011382199999999898,0.003094200000000047,-0.00013977618181818178,1.076969671131313,0.015740737,0.015160209,-0.000580528000000002,0.01505672603030303,32.15292201754506,35.504932,29.662241,9.027207626262616,0.030163333333559805
b1c21,batch1,b1c21,5.4C(80%)-5.4C,train,559.0,-3.3503380515995875,-1.1889597281466224,-0.030657577112710634,-0.09016665223320511,-1.1430823300485562,1.0824388,1.0767291,-0.005709699999999929,0.0034874000000000294,-8.178444155844157e-05,1.0863975044992784,0.015348774,0.015144967,-0.0002038070000000003,0.014937809606060608,33.13697371135653,37.615559,29.948643,8.987271380471347,0.014681666666637838
b1c23,batch1,b1c23,6C(30%)-3.6C,primary_test,1014.0,-4.0407936433278895,-1.523552178470511,-0.013340620512360239,-0.14317440365637846,-1.2306058551197139,1.0792934,1.0816909,0.0023974999999998303,0.004492999999999858,-6.9509103277674005e-06,1.0828155540024738,0.016937815,0.016928671,-9.143999999999125e-06,0.016824002585858585,31.99077454717494,36.165897,29.545927,11.458691784511789,-0.0003200000003751313
b1c24,batch1,b1c24,6C(40%)-3C,train,1017.0,-3.938662523656534,-1.4969978330235068,-0.013873507013282613,-0.33886310774417266,-1.2741881895082756,1.0745355,1.0776314,0.0030958999999999293,0.004539499999999919,2.0242585034014705e-06,1.0779299496850132,0.016687831,0.016682969,-4.86200000000131e-06,0.016587448888888887,33.378063951824195,37.596226,30.30908,12.128487205387225,0.08339666666691592
b1c25,batch1,b1c25,6C(40%)-3C,primary_test,854.0,-4.027888820540259,-1.5310448923727904,-0.012406193052887388,-0.35793477555398945,-1.2413942729375074,1.0752345,1.0780438,0.0028093000000000146,0.004678599999999866,5.129313543598952e-07,1.0788217283797157,0.016699277,0.016688013,-1.1263999999996943e-05,0.0165961417979798,33.848557073949294,38.670872,30.400667,12.137498080808081,0.0001883333333960735
b1c26,batch1,b1c26,6C(40%)-3.6C,train,870.0,-3.7952199967853435,-1.4161841994934083,-0.01785015712562481,-0.11706816411704128,-1.2766699504628691,1.0876514,1.0893713,0.0017199000000001075,0.003894800000000087,-1.5210461348175408e-05,1.091350021407545,0.016376387,0.016389275,1.2887999999999095e-05,0.016285491838383837,33.15641406115227,37.077717,30.189548,10.800664208754247,-0.0006883333333771446
b1c27,batch1,b1c27,6C(40%)-3.6C,primary_test,842.0,-3.8537032000559392,-1.4457275004165389,-0.01551418714665611,-0.28951852229645747,-1.2368251713034262,1.0790461,1.0810226,0.0019765000000000477,0.003953399999999885,-1.0758799010513339e-05,1.0825847381434754,0.016174601,0.016206481,3.187999999999802e-05,0.01609890666666667,33.89497000372245,38.178074,30.495707,10.803712340067367,-0.0008783333330324439
b1c28,batch1,b1c28,6C(50%)-3C,train,860.0,-3.844711807496199,-1.4292997115162875,-0.016698122755162716,-0.14263301031252343,-1.2384823669741583,1.0777475,1.0796947,0.0019471999999998157,0.003846999999999934,-7.726680272108982e-06,1.0810896899868068,0.016742077,0.016805848,6.377100000000066e-05,0.01668003754545454,33.773800525042,38.303513,30.421293,11.138253585858592,-5.8333333861071424e-05
b1c29,batch1,b1c29,6C(50%)-3C,primary_test,917.0,-3.8382817049630766,-1.4333451217343054,-0.01660052342693117,-0.13762996295439459,-1.2785185818791822,1.0794537,1.0818107,0.0023569999999999425,0.004349200000000053,-5.212719851577204e-06,1.083048669924552,0.016626336,0.016644154,1.7818000000002776e-05,0.016545523626262625,32.70415601771739,36.258759,30.240517,11.151875336700314,-0.0003499999998890502
b1c30,batch1,b1c30,6C(50%)-3.6C,train,709.0,-3.744699217898308,-1.3891761023084515,-0.017719122166801278,-0.28519142358197436,-1.2269916421555163,1.0798637,1.0814074,0.0015437000000000367,0.003954500000000083,-1.6368218923933255e-05,1.0836584963368379,0.016072329,0.016130757,5.842799999999926e-05,0.01600942625252525,33.54008830692456,37.483994,30.457619,10.124524292929316,0.0001766666667517569
b1c31,batch1,b1c31,6C(50%)-3.6C,primary_test,876.0,-3.777732624088043,-1.4036425857817216,-0.017983588803246863,-0.11073292820710413,-1.2421226847427715,1.0946392,1.0953494,0.0007101999999998831,0.003694199999999981,-2.6201082251082747e-05,1.0984046602453104,0.016952254,0.016962912,1.0658000000000195e-05,0.016865566141414143,30.375396745150564,31.658901,29.649641,10.126957558922545,-0.0004933333340879642
b1c32,batch1,b1c32,6C(60%)-3C,train,731.0,-3.6464634970703615,-1.3413563753175848,-0.020730273837007353,-0.15565603118726665,-1.2794467204381472,1.0778366,1.0793804,0.001543800000000095,0.003820099999999993,-1.2776272108843273e-05,1.0813230393725004,0.016239462,0.016290806,5.134400000000178e-05,0.016167064252525253,33.08050304573434,37.14436,30.193592,10.129902676767715,1.6666660176412051e-06
b1c33,batch1,b1c33,6C(60%)-3C,primary_test,757.0,-3.6670575975866413,-1.3477364305988748,-0.021651569301358076,0.0648321072722398,-1.232742808603498,1.0924908,1.0937657,0.0012749000000000787,0.004335399999999989,-2.181216573902273e-05,1.0966040669173367,0.016591828,0.016574621,-1.720699999999825e-05,0.016483775656565655,33.67169761442224,38.728722,30.119719,10.129993047138067,0.00018833333345646963
b1c34,batch1,b1c34,7C(30%)-3.6C,train,742.0,-3.848616157008837,-1.429245314396692,-0.016080359430316875,-0.15090116468663067,-1.179900135451435,1.0766174,1.0794187,0.0028013000000000066,0.004865000000000119,-3.129647495360075e-07,1.080085950091115,0.0169825,0.016954124,-2.8376000000000096e-05,0.01685519708080808,32.66455167507311,37.240925,29.709148,11.035507962962974,-0.0007116666663016247
b1c35,batch1,b1c35,7C(30%)-3.6C,primary_test,703.0,-3.7726058155960294,-1.4072456671301197,-0.018223341654084003,-0.09448727078656764,-1.2999242276573169,1.0707464,1.0739936,0.0032472000000001167,0.00507919999999995,3.195320964749697e-06,1.0743447123681713,0.017059039,0.017091474,3.243499999999733e-05,0.016967092292929295,32.09733437854189,36.075569,29.54327,11.036444074074083,0.08330999999989253
b1c36,batch1,b1c36,7C(40%)-3C,train,704.0,-3.6695013425959444,-1.350456749794432,-0.02104235085802675,-0.024120388445710322,-1.2877295595088152,1.0778315,1.0802411,0.0024096000000000117,0.004527799999999971,-7.183043908472686e-06,1.0816428948352916,0.016480684,0.016568536,8.785199999999938e-05,0.016437746262626264,32.04688205693082,34.868446,30.028351,11.554803670033683,-0.00016999999958500212
b1c37,batch1,b1c37,7C(40%)-3C,primary_test,648.0,-3.673938893314921,-1.351203133303817,-0.019436824634916583,-0.2364758704805441,-1.2637732127261774,1.0748194,1.0768065,0.0019871000000000194,0.004472400000000043,-9.68095856524431e-06,1.0785237713110698,0.016607935,0.016675115,6.718000000000002e-05,0.01654642202020202,32.95969887229894,36.993626,29.988958,11.561455202020227,0.0002933333335626287
b1c38,batch1,b1c38,7C(40%)-3.6C,train,617.0,-3.4330481735466756,-1.2486008121232726,-0.026764193834967424,-0.06381042216810003,-1.3483479281632569,1.0729513,1.0749754,0.002024100000000084,0.003646500000000108,-9.437124304267239e-06,1.0762827994001236,0.016260354,0.016349318,8.89640000000004e-05,0.01621205696969697,33.69474656343401,37.995705,30.288816,10.23158840067342,0.08305333333349552
b1c39,batch1,b1c39,7C(40%)-3.6C,primary_test,625.0,-3.5045337204530713,-1.274546135729866,-0.024440041487006035,-0.152502333206465,-1.277189897493371,1.0817773,1.0847629,0.0029856000000001437,0.004689399999999955,-3.2944774273345585e-06,1.085827017338693,0.016743599,0.01683517,9.157099999999863e-05,0.016691104555555555,33.50643317156701,38.024876,30.181021,10.242025976430945,0.0825033333334737
b1c40,batch1,b1c40,8C(15%)-3.6C,train,966.0,-4.0552127051547355,-1.5361710582591273,-0.012628807847703542,-0.24850466403431104,-1.2414941194014202,1.0833029,1.0857353,0.0024324000000000012,0.004503299999999877,-8.204863327149238e-06,1.0873484258074624,0.016756468,0.016823037,6.656899999999896e-05,0.01667927321212121,33.45968416375564,38.388569,30.003733,12.087224326599337,-0.00048499999984485953
b1c41,batch1,b1c41,8C(15%)-3.6C,primary_test,1051.0,-4.071513969179501,-1.5450592803081846,-0.012358568562846162,-0.23135631340210783,-1.2429492659603925,1.0789614,1.0821686,0.0032071999999998546,0.0049074999999998425,-1.385528756960918e-07,1.0828938530653474,0.016856873,0.016855884,-9.889999999998511e-07,0.016744890505050507,33.07332253245542,37.576675,30.021296,12.091290892255918,-7.999999982821748e-05
b1c42,batch1,b1c42,8C(25%)-3.6C,train,702.0,-3.6658557852690015,-1.3495987713904598,-0.020599210252813277,-0.10769408431100083,-1.3162418798566866,1.0798725,1.0832821,0.0034095999999999016,0.004959500000000006,2.11359802102667e-06,1.0837813903393116,0.0167679,0.016871214,0.00010331400000000018,0.01671562283838384,33.58506724391689,38.397423,30.125891,11.178124326599383,-0.08355166666681946
b1c43,batch1,b1c43,8C(25%)-3.6C,primary_test,651.0,-3.667779071634814,-1.3506077894518453,-0.019165626778476195,-0.23725353594012447,-1.3026127286464535,1.0682389,1.0688359,0.0005969999999999587,0.003432099999999938,-2.4014810142238766e-05,1.0717469502667492,0.016111452,0.016239306,0.00012785400000000016,0.016104855565656565,33.339782658681436,37.725166,30.034327,11.17782324915825,0.08368666666650171
b1c44,batch1,b1c44,8C(35%)-3.6C,train,616.0,-3.42070000480644,-1.2306443031102845,-0.029329092901317067,0.13907984932279427,-1.2892846015980648,1.0847682,1.0847102,-5.8000000000113516e-05,0.0035623999999998546,-3.361546072974662e-05,1.088556460214389,0.017436398,0.017589169,0.00015277100000000293,0.01741384996969697,32.55333216968653,36.804283,29.747217,10.258049427609434,-0.08314166666717249
b1c45,batch1,b1c45,8C(35%)-3.6C,primary_test,599.0,-3.425292235698853,-1.2261878935345303,-0.02886609052113574,0.11519776583282056,-1.280392401163963,1.0839558,1.0858277,0.0018719000000000374,0.004482499999999945,-1.2920053184909944e-05,1.087818373217481,0.016685704,0.016836088,0.00015038399999999993,0.016674251585858585,33.0005473910965,37.855122,29.696999,10.257274326599303,-0.08297499999962454
b2c0,batch2,b2c0,1C(4%)-6C,train,300.0,-2.745713141665477,-0.8683092642425612,-0.07133827336689072,0.48886246237697145,-0.8824477502085508,1.0700541,1.038452,-0.031602099999999966,0.0035296000000000216,-0.0003547307619047617,1.0788386304733044,0.017505454,0.017292464,-0.0002129899999999997,0.016917243747474747,30.048713446074856,33.972218,26.734909,10.37477348484851,0.4223483333335025
b2c1,batch2,b2c1,2C(10%)-6C,primary_test,148.0,-2.7269009268552273,-0.8600383510560675,-0.07768405682054086,0.9309968125740736,-0.5094314833198457,1.0720705,0.96833885,-0.10373164999999995,0.001545899999999989,-0.0010921046972170684,1.084408327436858,0.017582141,0.016749162,-0.0008329789999999976,0.016869171484848487,32.4100534814678,38.543324,27.851921,10.72596308080812,0.9635233333331907
b2c2,batch2,b2c2,2C(2%)-5C,train,438.0,-3.49325877973462,-1.263094289482448,-0.02449146658534491,-0.17019880095204717,-1.2838328727657737,1.0735391,1.0759984,0.002459299999999942,0.006428299999999831,-1.2791405071119452e-05,1.0786796212545868,0.017894397,0.017662315,-0.00023208199999999804,0.017552895676767676,32.74589101643199,39.198795,28.835936,10.068467895622893,0.09048499999989978
b2c3,batch2,b2c3,2C(7%)-5.5C,primary_test,335.0,-2.9295461799013296,-0.9967926288640481,-0.056715013832377426,0.4220609135432645,-1.0346303883299823,1.0668509,1.046734,-0.020116899999999882,0.0020588999999999746,-0.00022737416821273969,1.0725205381344052,0.016825944,0.016492119,-0.0003338249999999994,0.016190545454545457,33.65516741903765,39.808941,29.275244,10.137257121212132,0.13846000000000203
b2c4,batch2,b2c4,3.6C(22%)-5.5C,train,444.0,-3.352005048686579,-1.1937645767713467,-0.0322315015538469,0.16003399268822763,-1.1373703168595537,1.0728973,1.0650914,-0.007805899999999921,0.002749899999999972,-0.00010675010018552866,1.0773306450084519,0.016936054,0.016080894,-0.0008551600000000006,0.01618886293939394,32.9024450940803,38.022896,29.794935,10.144656565656542,0.1198700000000823
b2c5,batch2,b2c5,3.6C(2%)-4.85C,primary_test,480.0,-3.6026950184150652,-1.3178567781795072,-0.022220247486145744,-0.07932932924717329,-1.273671277597151,1.0680153,1.070745,0.002729700000000168,0.005005300000000101,-1.1376598639455212e-06,1.0720320358045765,0.017180175,0.016871674,-0.0003085009999999992,0.01685332808080808,32.05251533041326,36.829567,29.224894,10.133229612794622,0.00010000000014187549
b2c6,batch2,b2c6,3.6C(30%)-6C,train,511.0,-3.2443895460665364,-1.1399187112215652,-0.039274778329604375,0.4352605158316442,-1.0128036644455973,1.0687391,1.0521992,-0.01653989999999994,0.003792100000000076,-0.00021438584662956045,1.0756582428245722,0.016829265,0.015800076,-0.0010291889999999998,0.01586556781818182,32.77341800154968,38.299351,29.188963,10.218386481481522,0.14717499999994033
b2c10,batch2,b2c10,3.6C(9%)-5C,primary_test,561.0,-3.6263133993352747,-1.3158540945770287,-0.023504785774040513,0.1655272005478084,-1.0910356400913934,1.0690521,1.0670482,-0.0020039000000000584,0.004889700000000108,-6.0013924551638505e-05,1.0745925687379922,0.018265773,0.017686415,-0.0005793579999999986,0.017765133818181816,33.40783701030165,39.457458,29.682396,10.109577053872055,-0.08034999999993886
b2c11,batch2,b2c11,4C(13%)-5C,train,477.0,-3.462718089422487,-1.2480209783825262,-0.02769346224403372,0.08801698348090896,-1.209469188099545,1.0717047,1.0705185,-0.0011862000000000261,0.004223899999999947,-4.14573419913422e-05,1.0763249385829725,0.017606791,0.017084051,-0.0005227400000000007,0.017195567202020205,33.20898159528337,38.132206,30.125391,10.135728484848487,0.08521333333337644
b2c12,batch2,b2c12,4C(31%)-5,primary_test,458.0,-3.3201098522133483,-1.1775333427892285,-0.03501044314542259,0.3516016325069566,-1.0841283580532208,1.0712759,1.0600308,-0.011245100000000008,0.0029706999999998818,-0.00014801307977736574,1.076501974139353,0.017133227,0.01617695,-0.0009562770000000019,0.01634402229292929,33.60048951209876,39.435226,29.859741,10.166341885521902,-0.033890000000003084
b2c13,batch2,b2c13,4C(40%)-6C,train,483.0,-3.1848180062124536,-1.1138931144467876,-0.03716854800172337,-0.050698993637613814,-1.161868336628713,1.080285,1.0716245,-0.00866049999999996,0.00293180000000004,-0.00012120364131106962,1.0851543129795918,0.017087275,0.016590212,-0.000497062999999999,0.01659616886868687,33.36424175210755,39.087688,29.9837,10.26909826599325,0.10513333333340924
b2c14,batch2,b2c14,4C(4%)-4.85C,primary_test,485.0,-3.4987518062973493,-1.282073165686794,-0.024366548094741317,-0.11279803290007107,-1.3229641692094989,1.0780684,1.0809475,0.0028790999999999123,0.004814700000000061,-3.970303030303231e-06,1.0822715622222223,0.017164165,0.017031098,-0.00013306699999999713,0.017006705616161612,32.86840487751302,38.206268,29.854347,10.14196829966328,0.08292166666651468
b2c17,batch2,b2c17,4.4C(24%)-5C,train,494.0,-3.4289915980285874,-1.237925613063364,-0.024470063872948096,-0.3007086142571141,-1.2581727076931584,1.0656468,1.073837,0.008190200000000036,0.011064600000000091,2.0565896103896263e-05,1.0735338261673881,0.017780064,0.017275661,-0.0005044030000000005,0.01738245408080808,31.430277523225126,35.806377,28.374697,10.148735757575782,0.01568999999993359
b2c18,batch2,b2c18,4.4C(47%)-5.5C,primary_test,487.0,-3.52765465024867,-1.2562295216723036,-0.026516398880862074,0.09958102022815415,-1.011572371266192,1.063838,1.0588086,-0.005029399999999962,0.0037713999999999803,-8.156308843537395e-05,1.0682831104394972,0.017536523,0.017100986,-0.00043553699999999973,0.017111078888888888,32.95677440505808,38.70813,29.016958,10.197226195286191,0.08447499999965657
b2c19,batch2,b2c19,4.4C(55%)-6C,train,461.0,-3.3160048790440793,-1.1901649209336693,-0.0315363000596377,-0.03846874117541009,-1.2304444249470916,1.0480373,1.0328457,-0.015191600000000083,0.0016424999999999912,-0.00017850782312925215,1.051277032312925,0.017928939,0.01689407,-0.0010348690000000008,0.016803818030303026,32.44089419797574,37.402428,29.229534,10.399634276094282,0.20913999999975275
b2c20,batch2,b2c20,4.4C(8%)-4.85C,primary_test,502.0,-3.720936455795167,-1.3593087069041776,-0.020908145891942623,0.0847655753914737,-1.085962933736715,1.0831043,1.0862604,0.003156099999999995,0.006389599999999884,-6.300379715522502e-06,1.0882770415877137,0.017545482,0.017448828,-9.665400000000157e-05,0.017408081727272727,32.652443174412284,38.40601,29.268984,10.140166599326633,-0.08295166666648512
b2c21,batch2,b2c21,4.65C(19%)-4.85C,train,489.0,-3.526536349841589,-1.230650501746874,-0.026208783975850494,0.12807503112581575,-1.1938588714828506,1.0768799,1.0766457,-0.00023419999999996222,0.005136999999999947,-4.3975447124304146e-05,1.0821369467932385,0.017655412,0.017396539,-0.00025887299999999974,0.017412555353535353,32.35872588704418,37.163727,29.150013,10.144018451178432,-0.07970500000010361
b2c22,batch2,b2c22,4.65C(44%)-5C,primary_test,513.0,-3.55434686234817,-1.295833798883936,-0.023680986734106717,-0.053478680921716114,-1.2687503444766817,1.079723,1.0825431,0.002820100000000103,0.005646800000000063,-8.084566481137895e-06,1.0846159310723562,0.017338831,0.016993294,-0.00034553699999999993,0.01701693826262626,31.93073263477864,36.146839,29.35239,10.154668468013481,-0.06749666666680021
b2c23,batch2,b2c23,4.65C(69%)-6C,train,527.0,-3.5262591405911756,-1.2806508087919855,-0.027351231952719345,0.2676053781658962,-1.1686738898605398,1.0745209,1.0714235,-0.003097399999999917,0.0035600000000000076,-6.655335683364276e-05,1.0789011737237684,0.017877026,0.017051566,-0.0008254600000000001,0.017147190141414144,32.25237066740248,36.934685,29.381733,10.314190622895637,0.06194833333332461
b2c24,batch2,b2c24,4.8C(80%)-4.8C,primary_test,495.0,-3.695801909027004,-1.356179169651757,-0.019580447051353398,-0.14064400776525063,-1.1759479173545964,1.0679682,1.0710108,0.0030426000000001174,0.0054579000000001265,2.7728014842300307e-06,1.0719389194475366,0.017488673,0.017228115,-0.000260558000000001,0.017105904363636366,30.080366485164745,36.811321,26.808544,10.04830535353536,0.0005550000001672828
b2c25,batch2,b2c25,4.8C(80%)-4.8C,train,461.0,-3.4524627547437436,-1.2445409385820865,-0.026755635236779773,-0.02246698038809996,-1.2669993101850092,1.0672674,1.0676695,0.00040210000000007184,0.004897099999999988,-3.0330352504638285e-05,1.0720936338363223,0.017678419,0.017124586,-0.0005538330000000001,0.01718564258585859,29.80710204425891,33.972847,27.869812,10.052839006734022,0.010123333333224238
b2c26,batch2,b2c26,4.8C(80%)-4.8C,primary_test,471.0,-3.4071609737940496,-1.2295425911374671,-0.028812072539134304,0.0748635403201679,-1.3106407552293575,1.0766411,1.0773104,0.0006692999999999838,0.005885200000000035,-3.7005583178725555e-05,1.082561314035044,0.018048871,0.017471852,-0.0005770190000000015,0.017570216010101006,31.658500115459308,36.585075,29.097336,10.041589393939397,0.00436999999995713
b2c27,batch2,b2c27,4.9C(27%)-4.75C,train,468.0,-3.5618083547391297,-1.2988643792404329,-0.02303862965749112,-0.09078190936589238,-1.2659572716487815,1.065841,1.0693567,0.0035156999999998995,0.005946000000000007,4.945726654296844e-07,1.070597695985982,0.017624324,0.017357314,-0.00026701000000000155,0.017339433757575757,32.00299248761868,36.62397,29.155989,10.128570050505093,-0.08352666666663389
b2c28,batch2,b2c28,4.9C(61%)-4.5C,primary_test,509.0,-3.522279677918321,-1.2867359862998988,-0.02411709268523863,-0.13164807193991912,-1.297445130149762,1.07155,1.0759076,0.0043576000000000725,0.006313199999999908,6.730389610389912e-06,1.076352866291486,0.017233955,0.017148972,-8.498300000000028e-05,0.017059852101010103,33.061815940618864,38.591679,29.461449,10.150178737373727,-0.016545000000284915
b2c29,batch2,b2c29,4.9C(69%)-4.25C,train,498.0,-3.7089030308241906,-1.3861793724076383,-0.01762193502799477,-0.2857673827106419,-1.3624568969037734,1.0725043,1.0787998,0.006295500000000009,0.00683749999999983,3.2791438466295706e-05,1.0765747517897342,0.017144648,0.01718566,4.101199999999999e-05,0.017032333454545454,33.487092714604984,39.010788,30.02223,10.139228333333326,0.00044166666678613353
b2c30,batch2,b2c30,5.2C(10%)-4.75C,primary_test,481.0,-3.60479416427449,-1.325416644054019,-0.020763688765842718,-0.1991142630932543,-1.2890948320477866,1.0672802,1.071249,0.0039687999999999946,0.005877600000000038,8.458444032158718e-06,1.0717198446068847,0.017789029,0.017473349,-0.0003156800000000022,0.017497465121212124,32.406531360848675,37.101799,29.613438,10.138687828282814,0.0833866666665326
