sample_id,si_content,mxene_content,alginate_content,carbon_content,mixing_time,drying_temp,pressing_pressure,particle_size_mean,porosity_score,agglomeration_index,crack_density,surface_uniformity,si_percent,ti_percent,c_percent,o_percent,impurity_percent,initial_capacity,capacity_50,capacity_100,retention_100,coulombic_efficiency,rct,si_mxene_ratio,si_ti_ratio,c_o_ratio,impurity_score,capacity_fade
S024,70.0,20.0,5.0,5.0,30.0,80.0,6.0,137.8,0.407,0.482,0.097,0.713,49.19,13.56,14.39,8.63,1.17,1366.44,993.47,916.78,67.09,98.35,168.55,3.5,3.6275811209439524,1.6674391657010428,0.011699999999999999,449.6600000000001
S025,65.0,25.0,5.0,5.0,60.0,100.0,6.0,123.83,0.449,0.477,0.063,0.764,45.23,17.41,16.07,10.19,1.33,1349.6,1035.8,965.46,71.54,98.21,119.17,2.6,2.597932222860425,1.577036310107949,0.013300000000000001,384.1399999999999
S026,65.0,10.0,15.0,10.0,45.0,90.0,5.0,177.12,0.374,0.61,0.032,0.685,45.21,5.72,21.28,13.62,0.75,1309.62,998.52,914.71,69.85,98.43,146.74,6.5,7.903846153846154,1.562408223201175,0.0075,394.90999999999985
S027,60.0,15.0,5.0,20.0,30.0,70.0,6.0,161.88,0.393,0.593,0.031,0.753,41.46,9.91,41.43,10.23,1.29,1331.2,1025.14,926.41,69.59,98.09,134.09,4.0,4.183652875882947,4.0498533724340176,0.0129,404.7900000000001
S028,70.0,10.0,10.0,10.0,30.0,100.0,4.0,156.63,0.334,0.619,0.083,0.687,50.39,6.84,20.49,11.19,0.47,1340.99,951.42,882.48,65.81,98.02,180.94,7.0,7.366959064327486,1.8310991957104557,0.004699999999999999,458.51
S029,60.0,25.0,5.0,10.0,45.0,90.0,7.0,115.84,0.499,0.357,0.074,0.847,40.55,18.8,27.1,10.27,1.87,1291.48,1098.61,1025.59,79.41,98.11,133.73,2.4,2.156914893617021,2.6387536514118795,0.0187,265.8900000000001
S030,60.0,15.0,15.0,10.0,60.0,90.0,6.0,129.65,0.312,0.517,0.032,0.823,38.4,12.52,20.79,13.84,1.82,1371.32,1188.66,1070.01,78.03,98.44,151.92,4.0,3.0670926517571884,1.5021676300578035,0.0182,301.30999999999995
S031,60.0,15.0,15.0,10.0,60.0,90.0,7.0,157.29,0.334,0.473,0.028,0.718,42.73,9.42,22.51,13.93,1.07,1263.17,1026.3,972.71,77.01,98.33,164.2,4.0,4.536093418259023,1.6159368269921035,0.010700000000000001,290.46000000000004
S032,55.0,25.0,5.0,15.0,45.0,90.0,4.0,128.15,0.403,0.389,0.034,0.774,36.85,18.39,38.4,10.35,1.38,1173.92,911.95,837.95,71.38,97.82,96.84,2.2,2.0038064165307232,3.710144927536232,0.0138,335.97
S033,55.0,15.0,10.0,20.0,30.0,70.0,5.0,148.76,0.344,0.57,0.04,0.682,37.53,9.76,40.83,11.25,0.1,1354.99,1064.77,962.36,71.02,98.12,158.86,3.6666666666666665,3.8452868852459017,3.6293333333333333,0.001,392.63
S034,60.0,25.0,10.0,5.0,60.0,90.0,6.0,104.06,0.385,0.446,0.043,0.753,42.37,18.47,18.65,10.84,0.62,1424.72,1197.2,1129.49,79.28,98.36,141.44,2.4,2.293990254466703,1.720479704797048,0.0062,295.23
S035,70.0,15.0,10.0,5.0,45.0,100.0,5.0,154.13,0.385,0.512,0.074,0.719,45.68,10.67,13.64,11.19,1.05,1346.76,1034.82,977.76,72.6,98.63,152.18,4.666666666666667,4.28116213683224,1.2189454870420018,0.0105,369.0
S036,55.0,10.0,15.0,20.0,60.0,80.0,5.0,157.45,0.311,0.519,0.027,0.782,35.9,5.37,39.87,14.07,0.66,1195.34,893.67,837.59,70.07,98.33,162.85,5.5,6.685288640595902,2.8336886993603407,0.0066,357.7499999999999
S037,70.0,10.0,15.0,5.0,30.0,90.0,4.0,138.67,0.261,0.591,0.076,0.654,45.68,8.13,11.91,12.65,1.56,1351.03,1033.98,917.87,67.94,98.04,171.58,7.0,5.618696186961869,0.941501976284585,0.015600000000000001,433.15999999999997
S038,70.0,10.0,10.0,10.0,30.0,70.0,5.0,146.34,0.279,0.541,0.103,0.631,46.65,6.59,20.74,11.95,2.2,1352.12,887.41,832.7,61.58,97.91,176.82,7.0,7.078907435508346,1.7355648535564854,0.022000000000000002,519.4199999999998
S039,55.0,30.0,5.0,10.0,60.0,80.0,4.0,119.16,0.493,0.333,0.033,0.721,37.93,21.07,25.83,8.87,0.61,1273.95,1043.98,981.02,77.01,98.32,104.92,1.8333333333333333,1.800189843379212,2.9120631341600904,0.0060999999999999995,292.93000000000006
S040,65.0,10.0,10.0,15.0,60.0,80.0,5.0,152.63,0.354,0.592,0.042,0.712,44.83,6.13,30.65,12.3,0.78,1287.4,1000.21,946.7,73.54,98.16,184.68,6.5,7.31321370309951,2.491869918699187,0.0078000000000000005,340.70000000000005
S041,55.0,20.0,10.0,15.0,45.0,100.0,6.0,130.49,0.48,0.506,0.01,0.748,37.73,13.75,31.72,9.82,1.32,1308.58,1012.18,952.59,72.8,97.91,150.87,2.75,2.7439999999999998,3.230142566191446,0.0132,355.9899999999999
S042,65.0,20.0,10.0,5.0,60.0,70.0,6.0,132.76,0.517,0.504,0.085,0.694,42.5,14.83,16.0,10.95,2.01,1361.1,1072.54,975.89,71.7,98.11,147.83,3.25,2.865812542144302,1.4611872146118723,0.020099999999999996,385.2099999999999
S043,65.0,15.0,10.0,10.0,60.0,80.0,6.0,139.98,0.377,0.438,0.086,0.659,41.43,10.61,24.13,10.32,0.59,1270.25,958.13,891.97,70.22,97.92,185.51,4.333333333333333,3.9048067860508957,2.3381782945736433,0.0059,378.28
S044,60.0,10.0,10.0,20.0,45.0,80.0,5.0,153.83,0.28,0.582,0.037,0.719,40.87,7.53,39.55,10.92,1.32,1341.46,988.86,897.02,66.87,97.69,169.68,6.0,5.427622841965471,3.6217948717948714,0.0132,444.44000000000005
S045,55.0,10.0,15.0,20.0,60.0,100.0,7.0,169.66,0.235,0.563,0.01,0.68,36.83,7.56,38.57,13.92,2.11,1374.87,1116.86,1021.29,74.28,98.36,180.04,5.5,4.871693121693122,2.7708333333333335,0.021099999999999997,353.5799999999999
S046,75.0,10.0,10.0,5.0,30.0,100.0,4.0,121.2,0.331,0.617,0.122,0.579,51.55,8.52,12.68,11.37,0.37,1400.24,856.38,740.9,52.91,97.69,189.55,7.5,6.050469483568075,1.1152154793315743,0.0037,659.34
S047,60.0,15.0,15.0,10.0,30.0,70.0,5.0,140.16,0.327,0.585,0.013,0.852,41.64,10.46,22.04,13.57,0.56,1294.82,1031.67,979.57,75.65,97.82,149.66,4.0,3.9808795411089863,1.6241709653647751,0.005600000000000001,315.2499999999999
S048,70.0,15.0,10.0,5.0,60.0,70.0,4.0,145.12,0.343,0.457,0.067,0.662,47.77,9.32,14.9,11.39,0.99,1358.61,1012.69,900.38,66.27,97.96,165.3,4.666666666666667,5.125536480686695,1.308165057067603,0.009899999999999999,458.2299999999999
S049,65.0,15.0,5.0,15.0,45.0,100.0,5.0,146.55,0.336,0.506,0.08,0.656,45.11,11.87,28.75,9.39,0.94,1365.19,890.44,793.58,58.13,97.99,196.7,4.333333333333333,3.8003369839932604,3.0617678381256654,0.009399999999999999,571.61
S050,65.0,25.0,5.0,5.0,30.0,70.0,7.0,120.54,0.434,0.454,0.064,0.829,44.48,17.67,16.0,8.54,1.61,1259.62,960.73,900.1,71.46,98.41,139.53,2.6,2.517260894170911,1.873536299765808,0.0161,359.51999999999987
